Código,Título,Gênero,Classificação,Plataforma,Quantidade de Temporadas,Duração Média do Episódio
88,Resident Evil: No Escuro Absoluto,Fantasia,16,Netflix,1,27,4 
89,1899,Terror,16,Netflix,1,50,8 
90,RWBY,Acao,12,Crunchyroll,9,26,16 12 12 12 14 13 13 14 10 
91,Suits,Drama,14,Netflix,9,40,12 16 16 16 16 16 16 16 10 
92,Under the Dome,Misterio,14,Paramount Plus,3,43,13 13 13 
93,Carnival Row,Suspense,16,Prime Video,2,55,8 10 
94,Super Onze,Infantil,0,Prime video,1,20,78 
95,Treta,Comedia,18,Netflix,1,30,10 
96,Como vender drogas online,Humor,16,Netflix,3,33,6 6 6 
97,Chicago Fire,Acao,16,Prime Video,8,40,24 22 24 23 22 23 22 20 
98,The Society,Drama,14,Netflix,1,60,10 
99,Power Rangers (1993),Acao,0,Netflix,3,30,60 52 43 
100,Demolidor,Acao,18,Netflix,3,54,13 13 13 
101,The Twilight Zone (1959),Terror,12,Paramount Plus,5,60,36 29 37 18 36 
102,Black Summer,Terror,16,Netflix,2,40,8 8 
103,Conversando com um serial killer,Documentario,18,Netflix,1,62,3 
104,The Terror,Drama,16,Prime Video,2,43,10 10 
105,Don't F**k with Cats,Documentario,16,Netflix,1,62,3 
106,The Handmaid's Tale,Suspense,16,Star Plus,4,60,10 13 13 10 
107,Hackers,Documentario,12,Prime Video,2,24,10 11 
108,F1: Dirigir para viver,Documentario,12,Netflix,5,40,10 10 10 10 10 
109,Kenan e Kel,Comedia,0,Pluto TV,4,30,14 13 22 13 
110,Narcos,Drama,16,Netflix,3,50,10 10 10 
111,Sintonia,Drama,16,Netflix,3,40,6 6 6 
112,LOL: Se rir  ja era,Comedia,14,Prime Video,2,30,6 6 
113,Moradores Indesejados,Documentario,14,Netflix,1,54,5 
114,Ozark,Suspense,16,Netflix,4,60,10 10 10 14 
115,Procurados - EUA,Documentario,16,Netflix,1,56,3 
116,The Purge,Ficcao Cientifica,18,Prime Video,2,40,10 10 
117,Como se Tornar um Tirano,Documentario,16,Netflix,1,27,6 
118,Znation,Acao,16,Netflix,5,30,13 15 15 13 13 
119,Ponto de Virada,Documentario,16,Netflix,1,61,5 
120,Jeffrey Epstein: Poder e Perversao,Documentario,18,Netflix,1,55,4 
121,Homem-Aranha: Acao Sem Limites,Acao,0,Disney+,1,22,13 
122,Na Cola dos Assassinos,Documentario,16,Netflix,2,35,4 4 
123,Neymar: O Caos Perfeito,Documentario,14,Netflix,1,56,3 
124,Cosmos (2014),Documentario,0,Disney Plus,1,60,13 
125,O homem do castelo alto,Acao,16,Prime Video,4,60,10 10 10 10 
126,Como Ficar Rico,Documentario,10,Netflix,1,33,8 
127,Mindhunter,Suspense,18,Netflix,2,50,10 9 
128,Nosso Planeta,Documentario,10,Netflix,1,50,8 
129,A Maldicao da Residencia Hill,Terror,16,Netflix,1,50,10 
130,Conversando com um serial killer TB,Documentario,16,Netflix,1,58,4 
131,Enigma do Universo,Documentario,10,Netflix,1,42,6 
132,Tattooed Teenage Alien Fighters from Beverly HillsSuperhero,Superhero,0,The Pirate Bay,1,30,40 
133,Filmes que Marcam epoca,Documentario,18,Netflix,3,46,4 4 8 
134,Por dentro das prisÃµes mais severas do mundo,Documentario,16,Netflix,6,44,4 4 44 3 4 4 
135,Genio Diaolico,Crime Real,16,Netflix,1,47,4 
136,Trato Feito,Documentario,10,Prime Video,19,23,25 33 30 38 30 28 34 46 52 47 42 45 29 30 30 20 25 14 13 
137,Revelacoes Pre-Historicas,Documentario,12,Netflix,1,30,8 
138,Chaves (Animacao),Animacao,0,Prime Video,7,26,26 52 26 22 15 13 7 
139,Imperio Romano,Documentario,16,Netflix,3,46,6 5 4 
140,O Codigo Bill Gates,Documentario,12,Netflix,1,52,3 
141,Corpo Humano: Nosso Mundo Interior,Documentario,12,Netflix,1,52,6 
142,Sonic X,Acao,0,Prime Video,3,30,46 6 26 
143,Matchday: FC Barcelona,Documentario,14,Netflix,1,42,8 
